year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
1955,Creature with the Atom Brain,murder superhuman strength mind control investigation gangster scientist revenge reanimated corpse laboratory zombie breaking and entering husband wife relationship father daughter relationship hazmat suit corpse terrorism assassin death threat lifting someone into the air murder of a police officer radiation suit reckless driving girl geiger counter vengeance doll mad scientist district attorney video monitor fingerprint reference to michael faraday newspaper headline broken spine television news broadcast television news anchor experimenting on animals bartender brain electrode radium stabbed to death brain implant police pursuit police car energy source ten dollar bill mother daughter relationship military strangulation experiment,['Sam Katzman'],['Edward L. Cahn'],"['Curt Siodmak', 'Curt Siodmak']",['Aaron Stell'],['Fred Jackman Jr.'],[],"['Mischa Bakaleinikoff', 'Daniele Amfitheatrof', 'Mischa Bakaleinikoff', 'Mario Castelnuovo-Tedesco', 'Anthony Collins', 'George Duning', 'Lucien Moraweck', 'Karol Rathaus', 'Hans J. Salter']"
2004,Skinned Deep,desert insane man insane woman family killed family of psychopaths slasher backwoods slasher backwood male nudity male frontal nudity public nudity pubic hair male pubic hair male rear nudity outdoor nudity hillbilly horror cannibal family murder vacation gone wrong male full frontal nudity sean connery imitation violence chase actual animal killed mutilated child murder of a child torso cut in half streaking road trip pornographic video mad family forced marriage disfigurement car trouble blood spatter external brain,['Gabriel Bartalos'],['Gabriel Bartalos'],['Gabriel Bartalos'],['Christopher Seguine'],['Peter Strietmann'],[],"['Greg Bartalos', 'Eric Holbrook', 'The Keyboard Kids']"
2009,For Whom He Tolls,spirituality supernatural power psychotronic film human rights gay buddhist african american independent film,"['Richard Adcock', 'Patti Chavez', 'Kent Fuselier', 'Jeff Grettler', 'Rob Grettler', 'Kendrick Hudson', 'Wayne Knight', 'Randal Reeder', 'Richard Reeder', 'Lije Sarki']",['Randal Reeder'],"['Jeff Grettler', 'Wayne Knight', 'Randal Reeder']",['Matthew James Hubbard'],['Larry McKee'],['Dusty Wilson'],[]
1971,I Eat Your Skin,voodoo ritual voodoo drums voodoo ceremony tropical island human experimentation head chopped off experiment gone wrong grindhouse film cult exploitation snake venom walking dead transformation terror superstition stabbed to death spanish language skinny dipping screaming screaming in fear scientific experiment ritual resort pulp fiction writer medical experiment living dead implied nudity human experiment human experimental subjects ghoul cult film corpse chicken chanting calypso music calypso band blood beheading beach bare chested male b movie machete cannibal splatter comedy psychotronic film video nasty caribbean island man wears a swimsuit venom snake,"['Jesse Hartman', 'Dan Stapleton', 'Del Tenney']",['Del Tenney'],['Del Tenney'],['Lawrence C. Keating'],['François Farkas'],[],['Lon E. Norman']
2008,The Legend of Bloody Mary,urban legend based on urban legend reference to bloody mary bloody mary witch priest college teenager skull nudity murder monster mirror insanity indiana hex ghost death blood archeologist adultery suspense character name in title,"['Robert Ahrens', 'Mark Bredahl', 'Mike Budacheck', 'Keith Collea', 'Joseph Domingo', 'Cherelle George', 'Frank Gresik', 'Frank Iatarola', 'Hal Kessler', 'John Ladle', 'Robert J. Locke Jr.', 'Edward Reininger', 'Steven Ritchie', 'Grant Sawyer', 'Blake Smith', 'John Stecenko', 'Paul Stecenko']",['John Stecenko'],"['Dominick R. Domingo', 'Joseph Domingo', 'Lisa G. Myers', 'John Stecenko']",['Ricky Hayner'],"['Joe Hendrick', 'John Stecenko']",[],[]
2008,Something's Wrong in Kansas,slasher co ed,"['Matt Bilski', 'Elton Brand', 'Shaun Del Grande', 'Steven Hashim', 'Stephen Hays', 'George J. Malasek', 'Steve Marlton', 'Joseph McKelheer', 'Roger Mende', 'James Reach', 'Jesse H. Rivard', 'Shauna Stoddart', 'Michael Weiss', 'Brian Zola']",['Louis Paul Tocchet'],"['John Chua', 'James Reach', 'Louis Paul Tocchet']","['Tony Fulgham', 'Alan Nay']",['Chris Squires'],"['Josh Ritcher', 'Laurent Turlure']",['Jody Friedman']
1985,Day of the Dead,bully bully comeuppance questioning authority scientist military bunker experiment research living dead zombie latino shaving toothbrush razor morphine cursing yelling despair shouting crying football player zombie talking zombie boyfriend girlfriend relationship sadism military jacket groaning moaning screaming sexist racial slur jamaican intestines eaten alive helicopter pilot mad scientist gore torso cut in half shot through the mouth clown zombie anthropophagus zombie violence bride zombie gentle zombie reference to god reference to frankenstein zombie child extreme gore zombie film sexual harassment reference to stephen king,"['David Ball', 'Salah M. Hassanein', 'Ed Lammi', 'Richard P. Rubinstein']",['George A. Romero'],['George A. Romero'],['Pasquale Buba'],['Michael Gornick'],['Cletus Anderson'],"['John Harrison', 'John Sutton', 'Jim Blazer', 'Rex Burke', 'Gary Carolla', 'Tom Cossie', 'Delilah', 'Frank Falotico', 'Ray Falotico', 'Michael Fisher', 'Don Garvin', 'Grant Geissman', 'Rick Granati', 'Doug Harrison', 'John Harrison', 'Modern Man', 'Talmadge Pearsall', 'Bill Smith', 'Sputzy Sparacino', 'John Sutton', 'Tom Tornow', 'Gary Wallo', 'Carl Wurtz']"
2007,White Noise 2: The Light,stand alone sequel electronics electronic voice phenomena near death experience aura angry spirit video ghost nurse hospital shooting oneself in the head repeated dialogue caught on train tracks heart monitor dead doctor murder of wife murder of son disfigured face insane asylum reference to the book of revelation killed by a policeman reference to pink floyd reference to the beach boys flickering tv screen emergency medical technician emergency medical team music recital electrocardiogram fate shot to death shot by the police numerology number 666 bible quote news broadcast list billiards metronome suicide attempt home movie knife held to throat engraving parking garage shopping cart bicycle doomed newspaper headline heart attack elvis figurine startled,"['Paul Brooks', 'Stephen Hegyes', 'Scott Niemeyer', 'Jonathan Shore', 'Brad Van Arragon', 'Shawn Williamson']",['Patrick Lussier'],['Matt Venne'],"['Tom Elkins', 'Patrick Lussier']",['Brian Pearson'],['Andrew Neskoromny'],"['Steffan Andrews', 'Jane Ashworth', 'Hal Beckett', 'Meagan Carsience', 'Normand Corbeil', 'Tom Elkins', 'Daniel Ingram', 'Daniel Mahlberg', 'Roger Monk', 'Craig Pettigrew', 'Vince Renaud', 'Carl Sealove', 'Jeff Toyne', 'Sarah Webster']"
1997,Office Killer,getting away with murder title directed by female slasher workplace romance socially awkward triple f rated socially awkward woman two word title female protagonist accidental killing death accident accidental death dark comedy camera shot from inside a cart telephone call magazine editor matronizing coworker coworker relationship colleague colleague relationship female boss bechdel test passed fax typing scream screaming woman bar reference to jesus christ dog barks talking to a cat talking to an animal computer mouse outcast social outcast old woman delivery watching tv ill mother long haired male modernization manual employer employee relationship shyness shy woman neurotic neurotic woman flushing a toilet toilet stall washing ones hands,"['Tom Carouso', 'John Hart', 'Ted Hope', 'Pamela Koffler', 'James Schamus', 'Christine Vachon']",['Cindy Sherman'],"['Elise MacAdam', 'Tom Kalin', 'Cindy Sherman', 'Elise MacAdam', 'Todd Haynes']",['Merril Stern'],['Russell Lee Fine'],['Kevin Thompson'],"['Tom Lazarus', 'Randall Poster']"
1977,Another Son of Sam,psychopath serial murder exploitation escaped psychiatric patient swat serial killer micro budget murderer death insanity independent film,"['Dave Adams', 'Gene Cale', 'Christy Dimon', 'Carl Jones', 'Jerry Kool', 'Rozella Langston', 'Donnie Rucks', 'Ron Sherrill']",['Dave Adams'],['Dave Adams'],['Dave Adams'],['Harry M. Joyner'],[],[]
2005,Feast,absurd violence girls with guns monster bar covered in blood gore blood shotgun death of child forced oral sex grindhouse film creature feature smoking smoking during sex meta horror vomiting bloody body of child dead boy boy killed first part harbinger of death wilhelm scream woman hitting a man whimper weed wedding ring squealing roadkill smoking marijuana old woman old man obscene finger gesture introduction head bitten off violence death spasm death of husband dead woman dark comedy cult film crying boy in a wheelchair blood spurting alcohol raised middle finger punched in the face playing pool mechanic lighter knocked out with a gun butt,"['Ben Affleck', 'Wes Craven', 'Matt Damon', 'Andrew Jameson', 'Marc Joubert', 'Alex Keledjian', 'Michael Leahy', 'Adrienne Maloof', 'Colleen Maloof', 'Gavin Maloof', 'George Maloof', 'Joe Maloof', 'Phil Maloof', 'Chris Moore', 'Ben Ormand', 'Joel Soisson', 'Larry Tanz', 'Alix Taylor', 'Ronald Cosmo Vecchiarelli', 'Bob Weinstein', 'Harvey Weinstein']",['John Gulager'],"['Patrick Melton', 'Marcus Dunstan']",['Kirk M. Morri'],['Thomas L. Callaway'],['Clark Hunter'],"['Kyle Kenneth Batter', 'Michael Bowers', 'Pavel Ciboch', 'Scott Cloward', 'Tom Erba', 'Shiro Gutzie', 'Milan Jilek', 'Cenda Kotzman', 'Petr Kovik', 'Jérôme Leroy', 'Michael Pelavin', 'Zdena Pelikanova', 'Aldo Shllaku', 'Marcus Sjowall', 'Shie Rozow']"
2005,Land of the Dead,zombie apocalypse post apocalypse zombie film zombie survival survival horror skyscraper mercenary apocalypse urban setting shopping mall prostitute greed bitten hand cult director creature feature american horror canadian horror french horror flesh eating zombies grindhouse film human eaten by zombies eating human flesh blood splatter zombie violence bloodbath invasion zombie child zombie boy cannibal dead child survival desolate city samoan intestines infection disembodied head ghost town epidemic decomposing body guts bitten by a zombie evil priest cut into pieces mutilation zombie with a gun bully comeuppance extreme violence 2000s psychotronic film biopunk,"['Steve Barnett', 'Mark Canton', 'Neil Canton', 'Bernie Goldmann', 'Peter Grunwald', 'Dennis E. Jones', 'Ryan Kavanaugh', 'David Resnick', 'Lynwood Spinks', 'Silenn Thomas']",['George A. Romero'],['George A. Romero'],['Michael Doherty'],['Miroslaw Baszak'],['Arvinder Greywal'],"['Kevin Banks', 'Reinhold Heil', 'Johnny Klimek', 'Gabriel Isaac Mounsey', 'Kathy Nelson', 'Shawn Thomas Odyssey', 'Bruce Winter', 'Shawn Thomas Odyssey']"
1970,Women and Bloody Terror,psychotronic film independent film,['Albert J. Salzer'],['Joy N. Houck Jr.'],"['Joy N. Houck Jr.', 'J.J. Milane', 'J.J. Milane', 'Albert J. Salzer', 'Robert A. Weaver']","['John Post', 'Robert A. Weaver']",['Robert A. Weaver'],[],[]
1934,Double Door,castle old woman marriage lie vault necklace attempt to murder doctor based on play,['E. Lloyd Sheldon'],['Charles Vidor'],"['Jack Cunningham', 'Gladys Lehman', 'Elizabeth McFadden']",['James Smith'],['Harry Fischbeck'],[],"['Herman Hand', 'Rudolph G. Kopp']"
1993,Leprechaun,cult film evil creature f word child swearing creature monster gasoline treasure talking in rhymes camera shot of feet drinking from a bottle alcoholic old woman drunkenness limousine chauffeur domineering wife mythological character broken vase breaking a vase coin setting a fire storm greed pointing a gun at someone mother cloverleaf mother issues mommy issues suitcase fairy tale character in real world falling down the stairs pushed down the stairs falling to death sign of the cross mythological character in real world tea gunshot shooting written by director dead body death of wife loss of wife greedy man hammer hammering a nail fairy tale character moving a dead body carrying a dead body changing voice,"['Mark Amin', 'Barry Barnholtz', 'Jim Begg', 'Jeffrey B. Mallian', 'Michael Prescott', 'David Price', 'William Sachs']",['Mark Jones'],['Mark Jones'],['Christopher Roth'],['Levie Isaacks'],['Naomi Slodki'],[]
1980,Beyond Evil,ghost magic murder honeymoon possession haunted house occult revenge mansion psychotronic film reference to satan tropical setting voodoo supernatural power caribbean witch independent film,"['Rooven Akiba', 'David Baughn', 'Don Edmonds', 'Herb Freed', 'James Waters']",['Herb Freed'],"['Paul Ross', 'Herb Freed', 'David Baughn']",['Richard E. Westover'],['Ken Plotin'],[],['Natale Massara']
1969,She Came on the Bus,sex scene murder bus bus driver hijacking home invasion gang motorcycle rape female nudity roughie,['Peter Jackson'],['Curt Ledger'],['Curt Ledger'],[],[],[],[]
2008,Dance of the Dead,anti gay language meanness schoolteacher generation y psychotronic film romzomcom photography prom high school student council sci fi club punk cemetery high school prom geek coach cheerleader zombie breaking up with boyfriend teenage girl teenage boy friendship tongue bitten off survival horror subjective camera ticket seller sunglasses spoiled brat shot in the head school principal running away roses rock band remote control redneck public humiliation prom dress prayer smoking marijuana pizza delivery boy machete ipod helmet handheld camera gun digging a grave frog dissection friendship between boys football helmet exploding building,"['Shannon Banal', 'Gregg Bishop', 'Ehud Bleiberg', 'Stephen Caudill', 'Brian James Crewe', 'Nicholas Donnermeyer', 'Chad Eikhoff']",['Gregg Bishop'],['Joe Ballarini'],['Gregg Bishop'],['George Feucht'],['James Jarrett'],['Peymon Maskan']
1944,The Monster Maker,gorilla psychotronic film mad scientist acromegaly virus poverty row film evil man suicide searching for cure revenge remorse reference to frankenstein loss of wife father daughter relationship disfigurement death of title character blackmail attempted murder assistant animal attack monster movie pianist laboratory dog murder,['Sigmund Neufeld'],['Sam Newfield'],"['Larry Williams', 'Pierre Gendron', 'Martin Mooney', ""Nell O'Day""]",['Holbrook N. Todd'],['Robert E. Cline'],[],['David Chudnow']
1976,The Last Victim,rape revenge grindhouse film gore child abuse troubled childhood disturbed childhood child molestation pedophilia abusive mother dark past american horror serial murder stabbing serial rape sex maniac sexual predator murder spree homicidal maniac sex killer sadistic psychopath villain bad guy insane man pervert perversion perversity low budget film human monster independent horror remake kicked in the groin murder female topless nudity gas station gas station attendant peeping peeping tom voyeurism threatened with a knife slow motion scene female rear nudity internal monologue bunny daydreaming flashback hitchhiker stutter stammer speech impediment,"['Sandy Charles', 'Henry Scarpelli', 'Jim Sotos']",['Jim Sotos'],['Henry Scarpelli'],"['Felix Dileone', 'Jim Markovic', 'Drake Silliman']",['Aaron Kleinman'],[],[]
2004,Dawn of the Dead,nurse zombie flesh eating zombie zombie attack zombie apocalypse survival horror zombie baby mall shopping mall blood zombification deadly disease zombie outbreak zombie violence mayhem hideout blood splatter end of civilization yacht explosion security guard childbirth violence zombie child shotgun chainsaw gun gore consumerism die hard scenario psychotronic film interracial marriage bloody violence interracial couple gory violence blood and gore bloodbath breasts accidental killing survival infection hospital police officer policeman hell on earth doomsday outbreak dark comedy dead body anthropophagus,"['Marc Abraham', 'Armyan Bernstein', 'Thomas A. Bliss', 'Dennis E. Jones', 'Michael D. Messina', 'Eric Newman', 'Richard P. Rubinstein']",['Zack Snyder'],"['George A. Romero', 'James Gunn']",['Niven Howie'],['Matthew F. Leonetti'],['Andrew Neskoromny'],"['Tree Adams', 'Azam Ali', 'Pete Anthony', 'Robert Bayless', 'Bruce Young Berman', 'Tom Boyd', 'Julian Bratolyubov', 'Tom Calderaro', 'Debbi Datz-Pyle', 'Mike Deasy', 'Sandy DeCrescent', 'George Doering', 'Bruce Fowler', 'Rick Giovinazzo', 'M.B. Gordy', 'Mark Graham', 'Zigmund Gron', 'Darrell Hall', 'Chris Kollgaard', 'Derek Leininger', 'Larry Mah', 'Wolfgang Matthes', 'Kathy Nelson', 'John Richards', 'John Rodd', 'Tim Rodier', 'G. Marq Roswell', 'Marni Sanders', 'David Sardy', 'Steven L. Smith', 'Adam Swart', 'James Thatcher', 'Louise Di Tullio']"
1981,An American Werewolf in London,werewolf college student nurse full moon london underground london england american pentagram monster as victim american abroad yorkshire england american tourist disbelief guilt friendship between men love ghost nightmare rampage hospital curse female nurse contemplating suicide violence female bartender tragedy sex scene public nudity gore monster doctor transformation death of friend city name in title premarital sex five word title sex in bed town with a dark secret american in london female frontal nudity lust attraction nude corpse jew investigation telephone booth repressed memory man and woman in shower crying loss of loved one,"['George Folsey Jr.', 'Peter Guber', 'Jon Peters']",['John Landis'],['John Landis'],['Malcolm Campbell'],['Robert Paynter'],[],"['Elmer Bernstein', 'Michael Clifford', 'Frederick Molton Johnson', 'Adam Fields', 'Jonathan Snowden', 'David Spear']"
2009,Daybreakers,dystopian future vampire blood food shortage bitten by a vampire military gore cure brother brother relationship pandemic epidemic self experimentation vampire using humans as blood bank vampire nation vampire craze fate corporate dystopia female topless nudity cigarette ozploitation vamp australian vampires timeframe 21st century vampire horror supernatural power female nudity female rear nudity year 2019 rationing vampire society plague australian supernatural australian horror vomiting cult film emaciation killed in an elevator child smoking pontiac firebird captured people execution flare helicopter vineyard winery lasersight tranquilizer dart pokies explosion ford mustang,"['Peter Block', 'Chris Brown', 'Jason Constantine', 'Todd Fellman', 'Bryan Furst', 'Sean Furst', 'Stuart Wood']","['Michael Spierig', 'Peter Spierig']","['Michael Spierig', 'Peter Spierig']",['Matt Villa'],['Ben Nott'],['George Liddle'],"['Daniel Baker', 'Craig Beckett', 'Laura Bishop', 'Dan Brown', 'Cantillation Choir', 'Christo Curtis', 'Jay Faires', 'Christopher Gordon', 'Alex Henery', 'Alison Johnston', 'Jessica Wells']"
1982,The Last Horror Film,video nasty fan fantasizing fantasy scene actress obsessed fan trip to france trip to cannes cannes france festival reference to the cannes film festival undressing stripping taking a bath knife hot tub woman in a hot tub barefoot female taxi electrocuted in a bathtub electrocuted in a hot tub dead body film within a film masturbation masturbating to a movie masturbating in public public masturbation male masturbation caught masturbating man caught masturbating movie theater masturbating in a movie theater watching a movie freeze frame horniness sexual attraction woman in a bath taxi driver watching a movie in a theater magazine reading a magazine daydream daydreaming taxi driver as protagonist trophy kissing a trophy inner voice talking to oneself projection old woman,"['Sean Casey', 'Judd Hamilton', 'Luke Walter', 'David Winters']",['David Winters'],"['Judd Hamilton', 'David Winters', 'Tom Klassen']","['Chris Barnes', 'M. Edward Salier']",['Thomas F. Denove'],['Jeff Sharpe'],"['Assa Drori', 'Terry Griffey', 'Udi Harpaz', 'Douglas M. Lackey', 'Michael Mancini', 'Jesse Frederick', 'Jeff Koz']"
1973,Wonder Women,all female army female nudity jai alai mad scientist manila philippines private detective bad girl seduction kidnapping cockfighting surprise ending woman murders a woman murderess hero murders a woman manhunt woman attacks a man woman dresses as a man shooting a woman exploitation cemetery dead woman villainess female soldier old man sex scene brain transplant underwater scene girls with guns woman swimming underwater female rapist b sci fi chase insurance athlete lloyds of london island kiss volcano soup man shoots a woman paddling boat car falling into a lake jumping off bridge dart gun street market rolling down stairs woman fights a man sharpshooter polo karate kata,"['Don Gottlieb', 'Ross Hagen', 'Ronald Remy']","[""Robert Vincent O'Neil""]","['Lou Whitehill', ""Robert Vincent O'Neil""]",['Richard Greer'],['Ricardo M. David'],[],[]
1988,Dead of Night,supernatural power domestic violence voodoo dual personality three word title witchcraft independent film,"['Jerry Feifer', 'Tony Miller', 'Ray Quiroga', 'Jessica Rains']",['Deryn Warren'],['Jerry Daly'],['Tony Miller'],['Rohn Schmidt'],[],[]
1989,Clownhouse,boy psychopath insanity bully home invasion clown brother brother relationship fear of clowns teenage boy nightmare axe circus murder attempted child murder old dark house stalker dummy hanging from a tree axe in the back palm reading mother son relationship bathtub fear night kitchen candle running boy wears eyeglasses tent power outage noose popcorn child in jeopardy killer clown evil clown bare chested male juvenile bedwetting chase fortune teller caught masturbating clown makeup hit on the head with a frying pan blood kiss dysfunctional family foot chase tears flashlight house grocery store attic,"['Roman Coppola', 'Michael Danty', 'Robin Mortarotti', 'Victor Salva', 'Sara Ström']",['Victor Salva'],['Victor Salva'],"['Roy Anthony Cox', 'Sabrina Plisco']",['Robin Mortarotti'],['Roy Anthony Cox'],"['Michael Becker', 'Thomas Richardson']"
1978,I Spit on Your Grave,revenge rape small town gang rape cult film independent film female rear nudity fellatio sex on the floor forced fellatio public nudity revenge sex outdoor sex anal rape rape victim misogyny rape and revenge female full frontal nudity grindhouse film male genital mutilation shared bath banned film panties genital mutilation predator turns victim violent death woman in jeopardy female protagonist oral rape sexual perversion sexual humiliation sexual cruelty sexual abuse female writer bleeding to death bathtub sexual violence female nudity hanging humiliation mental retardation man forced to strip misogynist sex with a stranger sexploitation motorboat gas station woman wears only a mans shirt cut off penis female serial killer,"['Meir Zarchi', 'Joseph Zbeda']",['Meir Zarchi'],['Meir Zarchi'],['Meir Zarchi'],['Nuri Habib'],[],[]
2002,Evil Calls: The Raven,female nudity female full frontal nudity paranormal phenomenon psychotronic film vacation gone wrong redneck horror female rear nudity woods camping camping trip five word title suspense,"['Warren Croyle', 'Richard Driscoll', 'Dominic Valentino']",['Richard Driscoll'],"['Richard Driscoll', 'Richard Driscoll']","['Robert James', 'Chris Newman', 'Tom Ramsbottom', 'Pablo Renaldo']",['Dennis Mahoney'],[],[]
1987,Open House,painted nails real estate agent hung by wrists radio personality radio phone in male nudity bare chested male man wrapped in a towel seductive behavior murder of a nude woman long fingernails long red nails electrocuted running water radio station suicide real estate psychologist fall from height violence bound and gagged hanged girl murder severed head slasher electrocution homelessness two word title shower taking a shower man in a shower male in a shower male rear nudity rear nudity wrapped in a towel seductive woman murderer talk radio radio dj blood spatter psycho killer real estate agency real estate listing real estate firm real estate assessor female full frontal nudity female rear nudity female star appears nude splatter revenge,"['Sultan Allaudin', 'Gabriella Belloni', 'Victor Bhalla', 'Sandy Cobe']",['Jag Mundhra'],"['David Mickey Evans', 'Jag Mundhra']",['Dan Selakovich'],['Robert Hayes'],['Naomi Shohan'],[]
1987,Criminally Insane 2,delusion delusional disorder delusional woman murder slasher second part psycho psycho killer obese woman female psychopath female killer fat woman death psychiatric patient sequel independent film,['Frances Millard'],['Nick Millard'],['Nick Millard'],"['John Lincoln', 'Nick Millard']",['Karil Ostman'],[],[]
1975,Poor Pretty Eddie,elvis impersonator rape and revenge cult film rural setting woman in jeopardy wannabe southerner sadist redneck rape victim exploitation black woman backwoods revenge rape racism car breakdown f rated name in title talking to oneself talking to oneself in a mirror aging signed photograph american flag stadium cheering crowd singing national anthem performance singing performance three word title criminal murderer male name in title water mill dog barks chicken female protagonist actual animal killed killing a chicken killing a bird killing an animal jukebox listening to music washing ones face close up of eyes hairy chested male singer as protagonist photograph coughing framed photograph,"['Michael Christian', 'Robert G. Diamond', 'Linda Marsh', 'Anthony T. Mazzola', 'Vito A. Sasso', 'Leon Walters']","['David Worth', 'Richard Robinson']","['B.W. Sandefur', 'Jean Genet']","['Frank Mazzola', 'David Worth']",['David Worth'],[],"['Ginger Boatwright', 'Larry Cox']"
2004,Seed of Chucky,back from the dead murderer duo female villain victim murder spree blood killer doll kidnapping bound and gagged multiple birth incantation escape chucky character britney spears character spoof horror spoof slasher spoof serial murder maniac undead american horror homicidal maniac supernatural power demon demonic possession evil spirit evil soul evil man psychopathic killer two murderers female serial killer female psychopath psychopath bad guy villain gross out comedy slashing body count characters killed one by one insane man mad woman evil woman camera shot from inside human body murderess psycho killer slasher murderer supernatural serial killer horror icon axe murderer dark comedy,"['David Kirschner', 'Guy J. Louthan', 'Laura Moskowitz', 'Vlad Paunescu', 'Corey Sienega']",['Don Mancini'],"['Don Mancini', 'Don Mancini']",['Chris Dickens'],['Vernon Layton'],[],"['Maurizio Abeni', 'Justine Angus', 'Christine Bergren', 'Mark Berrow', 'Tom Boyd', 'Peter Davies', 'Lucy Evans', 'M.B. Gordy', 'Mark Graham', 'Matt Lechevalier', 'London Symphony Orchestra', 'Sue Mallet', 'Maggie Rodford', 'Marni Sanders', 'Steven L. Smith', 'James Thatcher', 'Jonathan Williams', 'Nick Wollage', 'Bruce White']"
2004,Guardian of the Realm,demon lesbianism female nudity lifting someone into the air,"['Scott M. Baker', 'Robert A. Clark', 'Carrie Holt de Lama', 'Deborah L. Velarde']","[""'Evil' Ted Smith""]","[""'Evil' Ted Smith"", 'Wyatt Weed']",['Wyatt Weed'],['Yaron Levy'],[],['Jim Agnew']
2002,The Black Magic,psychotronic film vacation gone wrong f rated,"['Randy Ly', 'Asun Mawardi']","[""Marc-Ivan O'Gorman""]","['Asun Mawardi', ""Marc-Ivan O'Gorman""]",['Aaron Yamamoto'],['Shawn Landis'],['Sean Gilleran'],"['Gary Chase', 'Johs Wu']"
2009,Ruin,alternative film avant garde film experimental film post modernism religion underground film surrealism student film buddhist b movie asian american african american independent film,"['Alex Alexander', 'Brandon Howell']",['Alex Alexander'],"['Brandon Howell', 'Brandon Howell']",['Alex Alexander'],['Alex Alexander'],[],[]
1992,Moonfreak: Creature From Hell,werewolf horror werewolf full moon terror attack university transformation pentagram bitten pumpkin psychotronic short,['Derek Frey'],['Derek Frey'],['Derek Frey'],['Derek Frey'],['Derek Frey'],[],[]
1990,Night of the Living Dead,zombie apocalypse zombie remake of cult film biker rural setting zombie horde one day timespan zombie horror farmhouse undead survival horror pennsylvania zombie invasion flesh eating zombies zombie attack walking dead zombie bite living dead zombie outbreak zombie film friends who live together multiple cameos bald zombie leather jacket biker jacket biker gang young biker vigilante boyfriend girlfriend relationship bearded biker flesh eating zombie cult film mafia zombie clean shaven biker camera shot of feet foot closeup female stockinged feet pantyhose male rear nudity sole black character dies cliche 1990s five word title grindhouse film revenge revenge murder f word jump scare woman murders a man reference to california exploding truck,"['Ami Artzi', 'Declan Baldwin', 'Christine Forrest', 'Menahem Golan', 'George A. Romero', 'John A. Russo', 'Russell Streiner']",['Tom Savini'],"['John A. Russo', 'George A. Romero', 'George A. Romero']",['Tom Dubensky'],['Frank Prinzi'],['Cletus Anderson'],[]
2007,Trick 'r Treat,halloween mask corpse werewolf neighbor interlinked stories female vampire ohio pretending to be a vampire masked killer little red riding hood costume school principal smashing a jack olantern neighbor neighbor relationship female werewolf fictional town characters killed one by one characters murdered one by one tv news crew group of friends person thought dead is alive insane man insane killer principal student relationship revenge revenge from beyond the grave return from the dead freshly dug grave driving a bus child with a mental disability principal serial killer party woods dog school bus rock quarry trick or treating vomiting blood halloween candy halloween decoration halloween costume smashed pumpkin grave dead children playing hard to get child driving a bus pumpkin porno tape samhain,"['Ashok Amritraj', 'Michael Dougherty', 'William Fay', 'Alex Garcia', 'Dan Harris', 'Jon Jashni', 'Peter Lhotka', 'Bryan Singer', 'Thomas Tull', 'Shayne A. Wilson']",['Michael Dougherty'],['Michael Dougherty'],['Robert Ivison'],['Glen MacPherson'],['Mark S. Freeborn'],"['Peter Afterman', 'Bruce Babcock', 'Bill Booth', 'Craig Braginsky', 'Tom Brown', 'Matt Franko', 'Kevin Globerman', 'Brad Haehnel', 'Jim Hoffman', 'Jim Honeyman', 'Oliver Hug', 'Jon Kull', 'Alison Litton', 'Darrin McCann', 'Victor Pesavento', 'Aidan Pipes', 'Hannah Pipes', 'Andrew Ries', 'Steven Roberts', 'Ryan Robinson', 'Peter Rotter', 'Naomi Sato', 'Fletcher Sheridan', 'Sally Stevens', 'James Thatcher', 'John Clement Wood', 'Margaret Yen', 'Doug Tornquist']"
2006,Holla,black slasher summer camp lake camp cabin,"['Blondel Aidoo', 'Cal Coakley', 'Michael Z. Gordon', 'Jeffrey L. Hampton', 'Mark Holdom', 'Camille C. Irons', 'Vaughn Irons', 'Paul Redd']",['H.M. Coakley'],"['H.M. Coakley', 'Camille C. Irons', 'Byron Taylor']","['Zach Clark', 'H.M. Coakley']",['Ryan Postas'],['Rachael Rose Luckey'],"['H.M. Coakley', 'Heath McLane']"
1988,Carnage Hall,killer,"['David Andriesen', 'Todd Camp', 'Kevin Schmidt']",['John Harvey'],"['David Andriesen', 'Todd Camp', 'Kevin Schmidt']","['Todd Camp', 'John Harvey', 'Kevin Schmidt']",[],[],[]
1995,The Sandman,nightmare independent film,"['Ariauna Albright', 'J.R. Bookwalter', 'James L. Edwards', 'Barbara Katz-Norrod', 'Linda Weaver']",['J.R. Bookwalter'],"['J.R. Bookwalter', 'David Lange', 'Matthew Jason Walsh', 'Matthew Jason Walsh', 'J.R. Bookwalter']",['J.R. Bookwalter'],['Ron Bonk'],[],[]
1984,Satan's Touch,supernatural power deal with the devil gambling reference to satan,[],['John D. Goodell'],['John D. Goodell'],[],[],[],[]
1963,The Sadist,cult film b movie grindhouse film serial killer exploitation exploitation film car trouble rattlesnake psychopath junkyard death of friend independent film snake cat chevrolet car wreck coca cola person in a car trunk arizona desert arizona two word title serial murder sadistic man sadism sadistic serial killer bitten by a snake woman fights a woman car lovers on the lam abandoned house pistol baseball game on radio death rural setting psychotronic film teacher shot in the head scream police officer killed pistol whipped murder motorcycle cop gasoline gas station fugitive corpse chase california real time based on true story,['L. Steven Snyder'],['James Landis'],['James Landis'],[],['Vilmos Zsigmond'],[],['Rod Moss']
